,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default,Meta: _yoast_wpseo_content_score
PA1W5D4MA60/18,722,variation,PA1W5D4MA60/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2365,,,,,,,id:246,,,,,,60,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W5D4MA60/22,740,variation,PA1W5D4MA60/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2665,,,,,,,id:246,,,,,,6,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D2MA58/12,694,variation,PA1W6D2MA58/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1968,,,,,,,id:246,,,,,,32,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D2MA58/15,712,variation,PA1W6D2MA58/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2208,,,,,,,id:246,,,,,,50,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D2MA58/18,730,variation,PA1W6D2MA58/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2538,,,,,,,id:246,,,,,,68,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D2MA58/22,748,variation,PA1W6D2MA58/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2898,,,,,,,id:246,,,,,,14,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA1W6D3MA59/12,696,variation,PA1W6D3MA59/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2418,,,,,,,id:246,,,,,,34,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D3MA59/15,714,variation,PA1W6D3MA59/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2598,,,,,,,id:246,,,,,,52,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D3MA59/18,732,variation,PA1W6D3MA59/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3078,,,,,,,id:246,,,,,,70,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D3MA59/22,750,variation,PA1W6D3MA59/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3438,,,,,,,id:246,,,,,,16,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA1W6D4MA61/12,695,variation,PA1W6D4MA61/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2058,,,,,,,id:246,,,,,,33,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D4MA61/15,713,variation,PA1W6D4MA61/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2418,,,,,,,id:246,,,,,,51,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D4MA61/18,731,variation,PA1W6D4MA61/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2838,,,,,,,id:246,,,,,,69,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA1W6D4MA61/22,749,variation,PA1W6D4MA61/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3198,,,,,,,id:246,,,,,,15,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA2W5D2MA56/12,688,variation,PA2W5D2MA56/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3280,,,,,,,id:246,,,,,,26,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D2MA56/15,706,variation,PA2W5D2MA56/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3680,,,,,,,id:246,,,,,,44,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D2MA56/18,724,variation,PA2W5D2MA56/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4230,,,,,,,id:246,,,,,,62,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D2MA56/22,742,variation,PA2W5D2MA56/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4830,,,,,,,id:246,,,,,,8,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA2W5D3MA57/12,690,variation,PA2W5D3MA57/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4030,,,,,,,id:246,,,,,,28,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W5D3MA57/15,708,variation,PA2W5D3MA57/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4430,,,,,,,id:246,,,,,,46,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA2W5D3MA57/18,726,variation,PA2W5D3MA57/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5130,,,,,,,id:246,,,,,,64,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
