ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Meta: _yoast_wpseo_content_score,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default
546,variation,VG3W5D2MA44/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4620,,,,,,,id:521,,,,,,29,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
564,variation,VG3W5D2MA44/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5820,,,,,,,id:521,,,,,,47,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
530,variation,VG3W5D3MA45/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5520,,,,,,,id:521,,,,,,13,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
548,variation,VG3W5D3MA45/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5970,,,,,,,id:521,,,,,,31,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
566,variation,VG3W5D3MA45/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7170,,,,,,,id:521,,,,,,49,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
529,variation,VG3W5D4MA48/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4770,,,,,,,id:521,,,,,,12,Number of Calories,1200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
547,variation,VG3W5D4MA48/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5370,,,,,,,id:521,,,,,,30,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
565,variation,VG3W5D4MA48/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6570,,,,,,,id:521,,,,,,48,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
537,variation,VG3W6D2MA46/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5274,,,,,,,id:521,,,,,,20,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
555,variation,VG3W6D2MA46/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5544,,,,,,,id:521,,,,,,38,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
573,variation,VG3W6D2MA46/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6894,,,,,,,id:521,,,,,,2,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
539,variation,VG3W6D3MA47/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6624,,,,,,,id:521,,,,,,22,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
557,variation,VG3W6D3MA47/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7164,,,,,,,id:521,,,,,,40,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
575,variation,VG3W6D3MA47/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,8604,,,,,,,id:521,,,,,,4,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
538,variation,VG3W6D4MA49/12,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5724,,,,,,,id:521,,,,,,21,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
556,variation,VG3W6D4MA49/15,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6624,,,,,,,id:521,,,,,,39,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
574,variation,VG3W6D4MA49/18,Vegan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7884,,,,,,,id:521,,,,,,3,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
